月份,中国经济政策不确定性指数,中国贸易政策不确定性指数,全球经济政策不确定性指数,中国经济政策不确定性指数_变化,中国经济政策不确定性指数_环比,中国贸易政策不确定性指数_变化,中国贸易政策不确定性指数_环比,全球经济政策不确定性指数_变化,全球经济政策不确定性指数_环比
1949-10-01,87.2373217864418,,,,,,,,
1949-11-01,40.5456269269636,,,-46.6916948594782,-53.52261383468435,,,,
1949-12-01,40.0747425066627,,,-0.47088442030089794,-1.1613691931539716,,,,
1950-01-01,39.4241002651234,,,-0.6506422415393018,-1.6235718580877467,,,,
1950-02-01,200.476593624438,,,161.0524933593146,408.512793637018,,,,
1950-03-01,87.4157852094806,,,-113.0608084149574,-56.39601430317567,,,,
1950-04-01,173.327102234217,,,85.91131702473639,98.27895135742482,,,,
1950-05-01,90.3371243623844,,,-82.9899778718326,-47.880554628835945,,,,
1950-06-01,668.868176104951,,,578.5310517425665,640.4134023812937,,,,
1950-07-01,266.844369345541,,,-402.02380675941,-60.105088135682074,,,,
1950-08-01,225.817263171872,,,-41.02710617366898,-15.374919198891668,,,,
1950-09-01,186.468369570251,,,-39.348893601621,-17.425104285172445,,,,
1950-10-01,251.652721215202,,,65.184351644951,34.957323751572304,,,,
1950-11-01,186.787118919943,,,-64.86560229525901,-25.775839808936098,,,,
1950-12-01,152.465881650588,,,-34.32123726935501,-18.374520399377804,,,,
1951-01-01,108.007727113552,,,-44.458154537035995,-29.159411965309378,,,,
1951-02-01,327.685314614383,,,219.677587500831,203.3906215523607,,,,
1951-03-01,213.623898505672,,,-114.061416108711,-34.80821721990728,,,,
1951-04-01,423.839556625181,,,210.215658119509,98.40456034647616,,,,
1951-05-01,97.6355602991813,,,-326.2039963259997,-76.96402830434147,,,,
1951-06-01,249.765061780406,,,152.1295014812247,155.81362058563445,,,,
1951-07-01,324.507669933317,,,74.742608152911,29.925165521599205,,,,
1951-08-01,111.468008310516,,,-213.03966162280102,-65.65011596384716,,,,
1951-09-01,399.289639259679,,,287.821630949163,258.21007777171315,,,,
1951-10-01,525.061726504422,,,125.77208724474303,31.498960874100423,,,,
1951-11-01,611.993559928603,,,86.93183342418092,16.556497843201456,,,,
1951-12-01,436.672353883866,,,-175.32120604473698,-28.647557347693407,,,,
1952-01-01,509.663382677666,,,72.99102879380001,16.715285074633357,,,,
1952-02-01,358.078359902062,,,-151.585022775604,-29.742184337279177,,,,
1952-03-01,359.516928272694,,,1.4385683706319696,0.4017468050918849,,,,
1952-04-01,232.490350145036,,,-127.02657812765798,-35.33257216508821,,,,
1952-05-01,55.0480929814444,,,-177.4422571635916,-76.3224181360201,,,,
1952-06-01,116.971059305798,,,61.922966324353595,112.4888492417468,,,,
1952-07-01,104.89964598544,,,-12.07141332035799,-10.319999999999684,,,,
1952-08-01,51.5426719661165,,,-53.3569740193235,-50.864779874213696,,,,
1952-09-01,293.737807978943,,,242.1951360128265,469.89247311827864,,,,
1952-10-01,146.018438175724,,,-147.71936980321902,-50.28953229398665,,,,
1952-11-01,133.25666410752,,,-12.761774068203977,-8.739837398374295,,,,
1952-12-01,312.20132733762,,,178.9446632301,134.28571428571553,,,,
1953-01-01,612.737178156923,,,300.53585081930305,96.26347632221892,,,,
1953-02-01,789.137530815803,,,176.4003526588799,28.788909657723337,,,,
1953-03-01,262.138843524014,,,-526.9986872917889,-66.78160228255557,,,,
1953-04-01,550.400762907658,,,288.26191938364394,109.96535862768341,,,,
1953-05-01,454.828179581361,,,-95.57258332629698,-17.364180751023305,,,,
1953-06-01,552.719997710675,,,97.891818129314,21.522812904736234,,,,
1953-07-01,466.469879995292,,,-86.250117715383,-15.60466747586926,,,,
1953-08-01,118.343463431227,,,-348.126416564065,-74.62998823580604,,,,
1953-09-01,200.583664737966,,,82.240201306739,69.49281263390714,,,,
1953-10-01,573.214632187274,,,372.630967449308,185.7733369943646,,,,
1953-11-01,264.707276351504,,,-308.50735583577,-53.820565371572386,,,,
1953-12-01,319.88588936059,,,55.17861300908601,20.845144028384954,,,,
1954-01-01,66.0248979237518,,,-253.86099143683822,-79.35985921238135,,,,
1954-02-01,210.847541032095,,,144.8226431083432,219.34550095872956,,,,
1954-03-01,434.728776233145,,,223.88123520105003,106.18157276350261,,,,
1954-04-01,234.432710577785,,,-200.29606565536002,-46.07379971275268,,,,
1954-05-01,160.429719594372,,,-74.00299098341301,-31.56683672727435,,,,
1954-06-01,174.600588317324,,,14.170868722952008,8.833069557673866,,,,
1954-07-01,154.012431507308,,,-20.588156810015988,-11.79157356136653,,,,
1954-08-01,49.9331902063216,,,-104.07924130098641,-67.57846771352854,,,,
1954-09-01,524.675454400328,,,474.74226419400645,950.7549231931581,,,,
1954-10-01,111.216757830195,,,-413.45869657013304,-78.80275189215608,,,,
1954-11-01,204.581446831737,,,93.364689001542,83.94840024386485,,,,
1954-12-01,268.917045516098,,,64.33559868436103,31.44742579578852,,,,
1955-01-01,150.833463360966,,,-118.08358215513204,-43.91078368740418,,,,
1955-02-01,73.4534994360265,,,-77.37996392493949,-51.30158931626345,,,,
1955-03-01,0.0,,,-73.4534994360265,-100.0,,,,
1955-04-01,102.201525706781,,,102.201525706781,inf,,,,
1955-05-01,147.31366262292,,,45.112136916138994,44.140375208846635,,,,
1955-06-01,263.654874602095,,,116.341211979175,78.97516761698782,,,,
1955-07-01,677.324191664716,,,413.66931706262096,156.8980348597484,,,,
1955-08-01,210.672427149683,,,-466.65176451503294,-68.89636753828387,,,,
1955-09-01,114.248519910523,,,-96.42390723915999,-45.769590517249185,,,,
1955-10-01,112.814847348773,,,-1.4336725617500008,-1.254871890570508,,,,
1955-11-01,220.983215826569,,,108.168368477796,95.88132326535693,,,,
1955-12-01,0.0,,,-220.983215826569,-100.0,,,,
1956-01-01,172.213901908114,,,172.213901908114,inf,,,,
1956-02-01,250.897640073456,,,78.68373816534199,45.68953916817022,,,,
1956-03-01,105.05898768345,,,-145.838652390006,-58.12675334343855,,,,
1956-04-01,130.233117658716,,,25.174129975266,23.961900386016843,,,,
1956-05-01,42.9072504848823,,,-87.3258671738337,-67.05350278312201,,,,
1956-06-01,265.246090934946,,,222.33884045006369,518.1847774851043,,,,
1956-07-01,43.0198679402232,,,-222.22622299472278,-83.78114912510654,,,,
1956-08-01,83.5328327036156,,,40.5129647633924,94.17268509444476,,,,
1956-09-01,268.908563516449,,,185.3757308128334,221.9196031224854,,,,
1956-10-01,0.0,,,-268.908563516449,-100.0,,,,
1956-11-01,68.2872478976946,,,68.2872478976946,inf,,,,
1956-12-01,289.463019596112,,,221.1757716984174,323.8902994447436,,,,
1957-01-01,325.970146367128,,,36.507126771015976,12.612017528855457,,,,
1957-02-01,0.0,,,-325.970146367128,-100.0,,,,
1957-03-01,118.93383898576,,,118.93383898576,inf,,,,
1957-04-01,32.4244701982691,,,-86.5093687874909,-72.73738872403564,,,,
1957-05-01,583.335131513184,,,550.9106613149149,1699.058328312559,,,,
1957-06-01,219.539473560577,,,-363.79565795260703,-62.36477768944126,,,,
1957-07-01,141.756278358703,,,-77.78319520187398,-35.43016385179199,,,,
1957-08-01,0.0,,,-141.756278358703,-100.0,,,,
1957-09-01,273.523627589274,,,273.523627589274,inf,,,,
1957-10-01,0.0,,,-273.523627589274,-100.0,,,,
1957-11-01,0.0,,,0.0,,,,,
1957-12-01,140.45391438475,,,140.45391438475,inf,,,,
1958-01-01,0.0,,,-140.45391438475,-100.0,,,,
1958-02-01,132.315396046216,,,132.315396046216,inf,,,,
1958-03-01,99.8703555570262,,,-32.44504048918979,-24.5209865659603,,,,
1958-04-01,94.8116829224877,,,-5.058672634538496,-5.065239435990576,,,,
1958-05-01,112.642254348491,,,17.83057142600329,18.80630200455411,,,,
1958-06-01,56.0121988388725,,,-56.630055509618494,-50.27425617248146,,,,
1958-07-01,24.3183526487018,,,-31.6938461901707,-56.58382789317521,,,,
1958-08-01,52.9796191845658,,,28.661266535863998,117.85858585858624,,,,
1958-09-01,0.0,,,-52.9796191845658,-100.0,,,,
1958-10-01,0.0,,,0.0,,,,,
1958-11-01,32.2331753888398,,,32.2331753888398,inf,,,,
1958-12-01,0.0,,,-32.2331753888398,-100.0,,,,
1959-01-01,69.6052922045435,,,69.6052922045435,inf,,,,
1959-02-01,171.516752755788,,,101.91146055124449,146.41337939041392,,,,
1959-03-01,101.918090045784,,,-69.59866271000399,-40.578346774732374,,,,
1959-04-01,73.6678578974157,,,-28.250232148368298,-27.718565110156234,,,,
1959-05-01,28.5549994516116,,,-45.1128584458041,-61.2381841055089,,,,
1959-06-01,0.0,,,-28.5549994516116,-100.0,,,,
1959-07-01,30.2828077325174,,,30.2828077325174,inf,,,,
1959-08-01,0.0,,,-30.2828077325174,-100.0,,,,
1959-09-01,,,,,,,,,
1959-10-01,35.210676015521,,,,,,,,
1959-11-01,32.6018293092492,,,-2.6088467062718053,-7.409249129786133,,,,
1959-12-01,116.735173810913,,,84.1333445016638,258.0632629648025,,,,
1960-01-01,0.0,,,-116.735173810913,-100.0,,,,
1960-02-01,0.0,,,0.0,,,,,
1960-03-01,,,,,,,,,
1960-04-01,272.388056291369,,,,,,,,
1960-05-01,0.0,,,-272.388056291369,-100.0,,,,
1960-06-01,105.591558200428,,,105.591558200428,inf,,,,
1960-07-01,180.095749691695,,,74.50419149126701,70.55885220468792,,,,
1960-08-01,0.0,,,-180.095749691695,-100.0,,,,
1960-09-01,33.5528550362846,,,33.5528550362846,inf,,,,
