月份,SHFE铜主连成交量,SHFE铜主连持仓量,SHFE铜主连收盘价,SHFE铜主连成交量_变化率,SHFE铜主连持仓量_变化率,SHFE铝主连成交量,SHFE铝主连持仓量,SHFE铝主连收盘价,SHFE铝主连成交量_变化率,SHFE铝主连持仓量_变化率
2016-01-01,11122290,224774,35680.0,,,4279358,213990,10755.0,,
2016-02-01,4494980,259370,35880.0,-59.58584068568613,15.39145986635464,2494352,225128,11300.0,-41.71200446422103,5.2049161175755865
2016-03-01,11732592,335806,36860.0,161.01544389518975,29.469869298685268,3930002,223770,11750.0,57.55603058429604,-0.60321239472656
2016-04-01,7796352,265734,37660.0,-33.5496197259736,-20.86681000339482,4197820,284564,12680.0,6.814703911092157,27.168074362068182
2016-05-01,7611848,321466,35750.0,-2.3665427112577797,20.972852551799924,4436924,197334,12260.0,5.6959088288683235,-30.65391265233831
2016-06-01,5826924,248882,37530.0,-23.44928590271377,-22.57905968282804,3770832,164724,12530.0,-15.012472604894745,-16.525282009182398
2016-07-01,8697484,189826,37470.0,49.2637281694424,-23.728513914224415,3734038,150804,12260.0,-0.9757528312054231,-8.45049901653675
2016-08-01,5186318,196118,36270.0,-40.369904675880974,3.3146144363785712,2726748,160826,12215.0,-26.97589044353592,6.6457123153232045
2016-09-01,3149858,174124,37710.0,-39.266007213595465,-11.214676878205976,2561388,172868,12270.0,-6.064366784169273,7.487595289318882
2016-10-01,2889046,141922,38390.0,-8.280119294266598,-18.493717121132068,3470208,204846,14100.0,35.481543600579066,18.498507531758346
2016-11-01,11061596,228600,46100.0,282.8805771870714,61.074392976423674,7530824,235782,13145.0,117.01361993286858,15.102076681995257
2016-12-01,6173898,187358,45500.0,-44.186191576694725,-18.041119860017496,5946130,200226,12795.0,-21.042770352885686,-15.080031554571594
2017-01-01,4806034,159580,48040.0,-22.155597646737924,-14.826161679778815,4638758,233714,13835.0,-21.9869394042848,16.72510063628101
2017-02-01,5322860,188590,47740.0,10.753690048801158,18.17896979571374,5014614,249886,13770.0,8.102513646971875,6.919568361330519
2017-03-01,6387160,194190,47750.0,19.994889965169094,2.9694045283419124,6562318,268522,13995.0,30.86387107761435,7.457800757145261
2017-04-01,6181436,196602,46330.0,-3.220899429480395,1.2420824965240218,6016890,281130,14015.0,-8.31151431552083,4.695332226037352
2017-05-01,4572180,174426,45230.0,-26.033691847654815,-11.279641102328563,4238638,221712,13715.0,-29.554337872223023,-21.13541777825205
2017-06-01,4441654,171202,47460.0,-2.8547869943877924,-1.8483482966988873,3634840,189936,13945.0,-14.245094768649736,-14.332106516562026
2017-07-01,4382398,183196,50710.0,-1.3340976131864357,7.005759278513102,3625242,238398,14545.0,-0.2640556393128768,25.51491028556987
2017-08-01,6519828,183476,52820.0,48.77306899099534,0.15284176510403924,11644370,416252,16560.0,221.20255696033536,74.60381379038414
2017-09-01,4788218,161508,51880.0,-26.55913622261201,-11.97322810612832,10912404,404826,16445.0,-6.286007744515166,-2.744971795931306
2017-10-01,4512078,161186,53820.0,-5.767072426526942,-0.1993709289942247,5588720,408206,16365.0,-48.7856204737288,0.8349266104449748
2017-11-01,4971730,156818,52840.0,10.18714658744817,-2.709912771580658,6784884,266654,14565.0,21.40318355544739,-34.67660935900011
2017-12-01,4016204,220460,55580.0,-19.219185273536578,40.58335140098712,6066550,308960,15225.0,-10.587270172931474,15.865503611421538
2018-01-01,4381566,190878,53220.0,9.09719725392435,-13.418307175904932,4892748,270498,14440.0,-19.34875670685975,-12.448860693940967
2018-02-01,2983786,220582,52590.0,-31.90137955242487,15.561772441035625,3150054,270558,14325.0,-35.61789816275026,0.0221813100281798
2018-03-01,5662528,268974,50180.0,89.77661266592176,21.938326790037266,5692510,315660,13770.0,80.71150526308438,16.669993125318783
