品种,样本量,R2,调整后R2,样本起点,样本终点,入模变量数,备注
1#铜,32,0.7048539774862939,0.4617925471808888,2021-08,2024-12,14,国内可得变量基线OLS，解释用，不直接作为最终预测模型
A00铝,33,0.6653321003924164,0.33066420078483283,2021-09,2025-10,16,国内可得变量基线OLS，解释用，不直接作为最终预测模型
1#白银,43,0.4252526629682677,0.24564412014585135,2021-08,2026-05,10,国内可得变量基线OLS，解释用，不直接作为最终预测模型
ADC12,33,0.8730125619823189,0.8064953325444859,2021-09,2025-10,11,国内可得变量基线OLS，解释用，不直接作为最终预测模型
ZLD104,32,0.9539375426959769,0.9248454643986991,2022-06,2025-10,12,国内可得变量基线OLS，解释用，不直接作为最终预测模型
