品种,模型版本,样本量,R2,调整后R2,AIC,BIC,样本起点,样本终点,入模变量数,备注
1#铜,候选全变量模型,32,0.6932981432036023,0.49959170733219316,78.99193320454063,98.04649994093708,2021-08,2024-12,12,标准化OLS，HAC稳健标准误；用于影响因素解释
1#铜,核心筛选模型,51,0.5909939014569571,0.5455487793966189,111.13644456532353,122.72739836166949,2021-08,2025-10,5,标准化OLS，HAC稳健标准误；用于影响因素解释
1#铜,基本面筛选模型,43,0.31008935939802984,0.21685819174911503,118.06740642108895,128.63460711525033,2021-08,2025-10,5,标准化OLS，HAC稳健标准误；用于影响因素解释
A00铝,候选全变量模型,34,0.4888055822266837,0.15652921067402814,101.67364019979328,123.04268754441955,2021-08,2025-10,13,标准化OLS，HAC稳健标准误；用于影响因素解释
A00铝,核心筛选模型,53,0.428774678565371,0.36800602734892107,132.72899296877438,144.5507444500871,2021-08,2025-12,5,标准化OLS，HAC稳健标准误；用于影响因素解释
A00铝,基本面筛选模型,51,0.18439387041400723,0.09377096712667465,146.33672041807296,157.92767421441891,2021-08,2025-10,5,标准化OLS，HAC稳健标准误；用于影响因素解释
1#白银,候选全变量模型,43,0.31988868582694796,0.1598624942568181,123.45226558909036,139.3030666303324,2021-08,2026-05,8,标准化OLS，HAC稳健标准误；用于影响因素解释
1#白银,核心筛选模型,48,0.25238370314917624,0.16338176304788765,134.2565597597715,145.48376582521882,2021-08,2026-05,5,标准化OLS，HAC稳健标准误；用于影响因素解释
1#白银,基本面筛选模型,48,0.25238370314917624,0.16338176304788765,134.2565597597715,145.48376582521882,2021-08,2026-05,5,标准化OLS，HAC稳健标准误；用于影响因素解释
ADC12,候选全变量模型,34,0.866156214237016,0.8159647945758971,48.111034401039,63.37463964720062,2021-08,2025-10,9,标准化OLS，HAC稳健标准误；用于影响因素解释
ADC12,核心筛选模型,43,0.795067650200476,0.7673740894167566,65.87047357839134,76.43767427255271,2021-08,2026-05,5,标准化OLS，HAC稳健标准误；用于影响因素解释
ADC12,基本面筛选模型,43,0.795067650200476,0.7673740894167566,65.87047357839134,76.43767427255271,2021-08,2026-05,5,标准化OLS，HAC稳健标准误；用于影响因素解释
ZLD104,候选全变量模型,33,0.9514742514098492,0.9294170929597807,15.803139327571742,32.26472250370303,2022-05,2025-10,10,标准化OLS，HAC稳健标准误；用于影响因素解释
ZLD104,核心筛选模型,37,0.9100638903801102,0.8955580662478698,27.881188564413264,37.54669604027861,2022-05,2026-05,5,标准化OLS，HAC稳健标准误；用于影响因素解释
ZLD104,基本面筛选模型,37,0.9100638903801102,0.8955580662478698,27.881188564413264,37.54669604027861,2022-05,2026-05,5,标准化OLS，HAC稳健标准误；用于影响因素解释
