模型,模型版本,样本量,R2,调整后R2,AIC,BIC,样本起点,样本终点,变量数
铜价模型,产业链核心,90,0.665743533502448,0.6136516166456866,182.78273145612332,215.28025717041675,2016-04,2025-12,12
铜价模型,产业链+金融控制,90,0.7325860554058694,0.6739747798783887,170.70276395986787,213.19952835548236,2016-04,2025-12,16
铝价模型,产业链核心,90,0.31314299666508827,0.1849296893759047,251.60231203099949,289.0994570859535,2016-04,2025-12,14
铝价模型,产业链+金融控制,90,0.3888112352037675,0.23386197088922955,249.0974878614903,296.5938715977653,2016-04,2025-12,18
