series,horizon,model,weight,eligible,model_MAE,naive_MAE,beats_naive
1#铜,1,ARIMA_log,0.0,False,1367.1442679057654,654.2035398230086,False
1#铜,1,Median_ensemble,0.0,False,659.8306680900969,654.2035398230086,False
1#铜,1,Naive_last,1.0,True,654.2035398230086,654.2035398230086,False
1#铜,1,Ridge_direct_h,0.0,False,816.3025102330841,654.2035398230086,False
1#铜,1,Rolling_log_drift_120d,0.0,False,670.9244504867951,654.2035398230086,False
1#铜,1,Rolling_log_drift_20d,0.0,False,681.9323430350609,654.2035398230086,False
1#铜,1,Rolling_log_drift_5d,0.0,False,726.1139144299158,654.2035398230086,False
1#铜,1,Rolling_log_drift_60d,0.0,False,677.3079796678629,654.2035398230086,False
1#铜,2,ARIMA_log,0.0,False,1418.5882487059648,903.7610619469018,False
1#铜,2,Median_ensemble,0.0,False,923.9642777589022,903.7610619469018,False
1#铜,2,Naive_last,1.0,True,903.7610619469018,903.7610619469018,False
1#铜,2,Ridge_direct_h,0.0,False,1044.1859248457374,903.7610619469018,False
1#铜,2,Rolling_log_drift_120d,0.0,False,940.4690181602723,903.7610619469018,False
1#铜,2,Rolling_log_drift_20d,0.0,False,973.9477889726885,903.7610619469018,False
1#铜,2,Rolling_log_drift_5d,0.0,False,1104.8999068894404,903.7610619469018,False
1#铜,2,Rolling_log_drift_60d,0.0,False,961.661790220538,903.7610619469018,False
1#铜,3,ARIMA_log,0.0,False,1488.7350769870652,1107.5221238938059,False
1#铜,3,Median_ensemble,0.0,False,1149.459033214251,1107.5221238938059,False
1#铜,3,Naive_last,1.0,True,1107.5221238938059,1107.5221238938059,False
1#铜,3,Ridge_direct_h,0.0,False,1259.790370978101,1107.5221238938059,False
1#铜,3,Rolling_log_drift_120d,0.0,False,1167.9148002774139,1107.5221238938059,False
1#铜,3,Rolling_log_drift_20d,0.0,False,1283.6809262880697,1107.5221238938059,False
1#铜,3,Rolling_log_drift_5d,0.0,False,1562.1066925356379,1107.5221238938059,False
1#铜,3,Rolling_log_drift_60d,0.0,False,1205.8567469943562,1107.5221238938059,False
1#铜,4,ARIMA_log,0.0,False,1558.7200453359956,1293.5103244837776,False
1#铜,4,Median_ensemble,0.0,False,1330.6162629001358,1293.5103244837776,False
1#铜,4,Naive_last,1.0,True,1293.5103244837776,1293.5103244837776,False
1#铜,4,Ridge_direct_h,0.0,False,1442.2677051510352,1293.5103244837776,False
1#铜,4,Rolling_log_drift_120d,0.0,False,1361.153693089752,1293.5103244837776,False
1#铜,4,Rolling_log_drift_20d,0.0,False,1547.6136696546528,1293.5103244837776,False
1#铜,4,Rolling_log_drift_5d,0.0,False,1875.6423363723563,1293.5103244837776,False
1#铜,4,Rolling_log_drift_60d,0.0,False,1413.32022713602,1293.5103244837776,False
1#铜,5,ARIMA_log,0.0,False,1627.5581838372225,1449.7050147492632,False
1#铜,5,Median_ensemble,0.0,False,1510.360975671941,1449.7050147492632,False
1#铜,5,Naive_last,1.0,True,1449.7050147492632,1449.7050147492632,False
1#铜,5,Ridge_direct_h,0.0,False,1582.198521840228,1449.7050147492632,False
1#铜,5,Rolling_log_drift_120d,0.0,False,1554.007461926521,1449.7050147492632,False
1#铜,5,Rolling_log_drift_20d,0.0,False,1802.0538775765342,1449.7050147492632,False
1#铜,5,Rolling_log_drift_5d,0.0,False,2147.036850215062,1449.7050147492632,False
1#铜,5,Rolling_log_drift_60d,0.0,False,1623.136856139721,1449.7050147492632,False
1#铜,6,ARIMA_log,0.0,False,1687.2871974203042,1546.6076696165192,False
1#铜,6,Median_ensemble,0.0,False,1607.5659990159722,1546.6076696165192,False
1#铜,6,Naive_last,1.0,True,1546.6076696165192,1546.6076696165192,False
1#铜,6,Ridge_direct_h,0.0,False,1652.7540270607299,1546.6076696165192,False
1#铜,6,Rolling_log_drift_120d,0.0,False,1710.9504418754252,1546.6076696165192,False
1#铜,6,Rolling_log_drift_20d,0.0,False,1975.5317434231033,1546.6076696165192,False
1#铜,6,Rolling_log_drift_5d,0.0,False,2444.575073600367,1546.6076696165192,False
1#铜,6,Rolling_log_drift_60d,0.0,False,1738.913777517099,1546.6076696165192,False
1#铜,7,ARIMA_log,0.0,False,1749.3897460416874,1690.7817109144532,False
1#铜,7,Median_ensemble,0.0,False,1746.5854100001418,1690.7817109144532,False
1#铜,7,Naive_last,1.0,True,1690.7817109144532,1690.7817109144532,False
1#铜,7,Ridge_direct_h,0.0,False,1755.635277870993,1690.7817109144532,False
1#铜,7,Rolling_log_drift_120d,0.0,False,1876.6043613490917,1690.7817109144532,False
1#铜,7,Rolling_log_drift_20d,0.0,False,2168.2960840241126,1690.7817109144532,False
1#铜,7,Rolling_log_drift_5d,0.0,False,2768.644489611504,1690.7817109144532,False
1#铜,7,Rolling_log_drift_60d,0.0,False,1911.8162598173342,1690.7817109144532,False
1#铜,8,ARIMA_log,0.0,False,1806.4301203693694,1790.781710914455,False
1#铜,8,Median_ensemble,0.0,False,1855.3865105748303,1790.781710914455,False
1#铜,8,Naive_last,1.0,True,1790.781710914455,1790.781710914455,False
1#铜,8,Ridge_direct_h,0.0,False,1841.2154483962174,1790.781710914455,False
1#铜,8,Rolling_log_drift_120d,0.0,False,2029.4301477096894,1790.781710914455,False
1#铜,8,Rolling_log_drift_20d,0.0,False,2366.9827425836925,1790.781710914455,False
1#铜,8,Rolling_log_drift_5d,0.0,False,3042.632696217769,1790.781710914455,False
1#铜,8,Rolling_log_drift_60d,0.0,False,2054.1661744553435,1790.781710914455,False
