series,horizon,model,MAE,RMSE,MAPE_%,Bias,n_obs,naive_MAE,naive_RMSE,naive_MAPE_%,ensemble_MAE,ensemble_RMSE,ensemble_MAPE_%,beats_naive,beats_ensemble
1#白银,1,Final_ensemble,532.8908554572273,765.753743052101,3.1739220426356676,65.19174041297934,120,532.8908554572273,765.753743052101,3.1739220426356676,532.8908554572273,765.753743052101,3.1739220426356676,False,False
1#白银,1,Hybrid_variable_anchor,566.9272160978237,781.5716679165199,3.4194443286643894,145.85153505966065,120,532.8908554572273,765.753743052101,3.1739220426356676,532.8908554572273,765.753743052101,3.1739220426356676,False,False
1#白银,1,Naive_last,532.8908554572273,765.753743052101,3.1739220426356676,65.19174041297934,120,532.8908554572273,765.753743052101,3.1739220426356676,532.8908554572273,765.753743052101,3.1739220426356676,False,False
1#白银,1,Selected_adaptive_anchor,532.8908554572273,765.753743052101,3.1739220426356676,65.19174041297934,120,532.8908554572273,765.753743052101,3.1739220426356676,532.8908554572273,765.753743052101,3.1739220426356676,False,False
1#白银,2,Final_ensemble,729.6091445427733,962.4130299199829,4.4259138632343795,138.3849557522123,120,729.6091445427733,962.4130299199829,4.4259138632343795,729.6091445427733,962.4130299199829,4.4259138632343795,False,False
1#白银,2,Hybrid_variable_anchor,761.9630576856993,991.8362305030184,4.6828244358363555,254.61399122839003,120,729.6091445427733,962.4130299199829,4.4259138632343795,729.6091445427733,962.4130299199829,4.4259138632343795,False,False
1#白银,2,Naive_last,729.6091445427733,962.4130299199829,4.4259138632343795,138.3849557522123,120,729.6091445427733,962.4130299199829,4.4259138632343795,729.6091445427733,962.4130299199829,4.4259138632343795,False,False
1#白银,2,Selected_adaptive_anchor,729.6091445427733,962.4130299199829,4.4259138632343795,138.3849557522123,120,729.6091445427733,962.4130299199829,4.4259138632343795,729.6091445427733,962.4130299199829,4.4259138632343795,False,False
1#白银,3,Final_ensemble,851.438053097345,1097.5586937729845,5.257832952597695,217.80973451327426,120,851.438053097345,1097.5586937729845,5.257832952597695,851.438053097345,1097.5586937729845,5.257832952597695,False,False
1#白银,3,Hybrid_variable_anchor,900.0389519424677,1142.579842428914,5.636291401177637,356.5786743182377,120,851.438053097345,1097.5586937729845,5.257832952597695,851.438053097345,1097.5586937729845,5.257832952597695,False,False
1#白银,3,Naive_last,851.438053097345,1097.5586937729845,5.257832952597695,217.80973451327426,120,851.438053097345,1097.5586937729845,5.257832952597695,851.438053097345,1097.5586937729845,5.257832952597695,False,False
1#白银,3,Selected_adaptive_anchor,851.438053097345,1097.5586937729845,5.257832952597695,217.80973451327426,120,851.438053097345,1097.5586937729845,5.257832952597695,851.438053097345,1097.5586937729845,5.257832952597695,False,False
1#白银,4,Final_ensemble,986.5412979351033,1273.3312854304443,6.174771560594398,265.1548672566371,120,986.5412979351033,1273.3312854304443,6.174771560594398,986.5412979351033,1273.3312854304443,6.174771560594398,False,False
1#白银,4,Hybrid_variable_anchor,1025.0468138968645,1320.6611122919523,6.4774541968929,418.9057237078734,120,986.5412979351033,1273.3312854304443,6.174771560594398,986.5412979351033,1273.3312854304443,6.174771560594398,False,False
1#白银,4,Naive_last,986.5412979351033,1273.3312854304443,6.174771560594398,265.1548672566371,120,986.5412979351033,1273.3312854304443,6.174771560594398,986.5412979351033,1273.3312854304443,6.174771560594398,False,False
1#白银,4,Selected_adaptive_anchor,986.5412979351033,1273.3312854304443,6.174771560594398,265.1548672566371,120,986.5412979351033,1273.3312854304443,6.174771560594398,986.5412979351033,1273.3312854304443,6.174771560594398,False,False
1#白银,5,Final_ensemble,1080.8997050147495,1378.2887537788192,6.824729939520534,326.7699115044248,120,1080.8997050147495,1378.2887537788192,6.824729939520534,1080.8997050147495,1378.2887537788192,6.824729939520534,False,False
1#白银,5,Hybrid_variable_anchor,1082.4443763280578,1415.0012085939666,6.909339257306198,492.7413741347603,120,1080.8997050147495,1378.2887537788192,6.824729939520534,1080.8997050147495,1378.2887537788192,6.824729939520534,False,False
1#白银,5,Naive_last,1080.8997050147495,1378.2887537788192,6.824729939520534,326.7699115044248,120,1080.8997050147495,1378.2887537788192,6.824729939520534,1080.8997050147495,1378.2887537788192,6.824729939520534,False,False
1#白银,5,Selected_adaptive_anchor,1080.8997050147495,1378.2887537788192,6.824729939520534,326.7699115044248,120,1080.8997050147495,1378.2887537788192,6.824729939520534,1080.8997050147495,1378.2887537788192,6.824729939520534,False,False
1#白银,6,Final_ensemble,1159.365781710915,1506.5154439065686,7.358886957872854,383.9970501474926,120,1159.365781710915,1506.5154439065686,7.358886957872854,1159.365781710915,1506.5154439065686,7.358886957872854,False,False
1#白银,6,Hybrid_variable_anchor,1164.2501239610851,1544.7312628963477,7.475846468325119,556.4317000859962,120,1159.365781710915,1506.5154439065686,7.358886957872854,1159.365781710915,1506.5154439065686,7.358886957872854,False,False
1#白银,6,Naive_last,1159.365781710915,1506.5154439065686,7.358886957872854,383.9970501474926,120,1159.365781710915,1506.5154439065686,7.358886957872854,1159.365781710915,1506.5154439065686,7.358886957872854,False,False
1#白银,6,Selected_adaptive_anchor,1159.365781710915,1506.5154439065686,7.358886957872854,383.9970501474926,120,1159.365781710915,1506.5154439065686,7.358886957872854,1159.365781710915,1506.5154439065686,7.358886957872854,False,False
1#白银,7,Final_ensemble,1216.3348082595874,1576.0038222911664,7.772957328056271,432.7064896755163,120,1216.3348082595874,1576.0038222911664,7.772957328056271,1216.3348082595874,1576.0038222911664,7.772957328056271,False,False
