品种,模型版本,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
A00铝,候选全变量模型v2,A00铝_价格月环比,能源价格冲击,0.12305129263729,0.12305129263729,0.3859190352253051,不显著,正向,13
A00铝,候选全变量模型v2,A00铝_价格月环比,限电政策冲击,0.1168074853517796,0.1168074853517796,0.2682801333552884,不显著,正向,14
A00铝,候选全变量模型v2,A00铝_价格月环比,SHFE铝主连成交量_环比,-0.1035064492439439,0.1035064492439439,0.1758561295838764,不显著,负向,15
A00铝,候选全变量模型v2,A00铝_价格月环比,制造业PMI_变化,-0.0771890454666231,0.0771890454666231,0.6166254190657887,不显著,负向,16
A00铝,候选全变量模型v2,A00铝_价格月环比,企业商品价格矿产品环比增长,0.0626526023629468,0.0626526023629468,0.6309506895930762,不显著,正向,17
A00铝,候选全变量模型v2,A00铝_价格月环比,SHFE铝主连持仓量_环比,0.0371746093752097,0.0371746093752097,0.6111269540322501,不显著,正向,18
A00铝,候选全变量模型v2,A00铝_价格月环比,PPI当月同比增长,0.0093181975342586,0.0093181975342586,0.9486011586845084,不显著,正向,19
A00铝,候选全变量模型v2,A00铝_价格月环比,汽车产量当期值_环比,-0.006275935758732,0.006275935758732,0.9857502881647368,不显著,负向,20
ADC12,候选全变量模型v2,ADC12_价格月环比,汽车产量当期值_环比,1.0441232001234448,1.0441232001234448,0.0001075082947162,***,正向,1
ADC12,候选全变量模型v2,ADC12_价格月环比,汽车销量Top50厂商合计_环比,-0.9234300476736782,0.9234300476736782,9.614776365224378e-05,***,负向,2
ADC12,候选全变量模型v2,ADC12_价格月环比,A00铝_价格月环比,0.7469884399680544,0.7469884399680544,3.531054716666389e-17,***,正向,3
ADC12,候选全变量模型v2,ADC12_价格月环比,限电政策冲击,0.2042775049890733,0.2042775049890733,0.0766887193413791,*,正向,4
ADC12,候选全变量模型v2,ADC12_价格月环比,工业增加值同比增长,0.1085958100277025,0.1085958100277025,0.375132885429226,不显著,正向,5
ADC12,候选全变量模型v2,ADC12_价格月环比,制造业PMI_变化,-0.1081825761584223,0.1081825761584223,0.2910202746673225,不显著,负向,6
ADC12,候选全变量模型v2,ADC12_价格月环比,运输扰动冲击,0.1015178607762512,0.1015178607762512,0.0375219547254535,**,正向,7
ADC12,候选全变量模型v2,ADC12_价格月环比,COVID供应链冲击,0.1015178607762511,0.1015178607762511,0.0375219547254539,**,正向,8
ADC12,候选全变量模型v2,ADC12_价格月环比,环保限产冲击,-0.0792763675018827,0.0792763675018827,0.4385924873792967,不显著,负向,9
ADC12,候选全变量模型v2,ADC12_价格月环比,ADC12_A00价差_滞后1期变化,0.0790482706312175,0.0790482706312175,0.216910730206058,不显著,正向,10
ADC12,候选全变量模型v2,ADC12_价格月环比,中国经济政策不确定性指数_变化,0.0772843674101781,0.0772843674101781,0.1636957331427276,不显著,正向,11
ADC12,候选全变量模型v2,ADC12_价格月环比,新能源汽车产量当期值_环比,-0.0733673081085666,0.0733673081085666,0.2309960010518337,不显著,负向,12
ADC12,候选全变量模型v2,ADC12_价格月环比,企业商品价格煤油电环比增长,0.0611714184132298,0.0611714184132298,0.4577097306421923,不显著,正向,13
ADC12,候选全变量模型v2,ADC12_价格月环比,PPI当月同比增长,-0.0285022710196932,0.0285022710196932,0.8597034428424695,不显著,负向,14
