series,model,MAE,RMSE,MAPE_%
1#铜,Drift_log,5227.467015632722,5518.31129538753,5.665285302276311
1#铜,Holt_damped_log,5981.962712862215,6271.291881567401,6.484782872486567
1#铜,Naive_last,6007.817109144537,6297.149612853821,6.512902942442235
1#铜,ARIMA_log,6007.817109144552,6297.149612853835,6.512902942442252
A00铝,ARIMA_log,443.9528023598777,659.6730304183783,2.13944154949138
A00铝,Naive_last,443.9528023598828,659.6730304183836,2.139441549491405
A00铝,Holt_damped_log,443.9528025575615,659.6730306126775,2.1394415504429367
A00铝,Drift_log,574.0677058986844,807.7157326030396,2.7622395329004195
1#白银,Holt_damped_log,1371.366243721279,1630.5416793677596,9.008869320682553
1#白银,Naive_last,1375.442477876106,1741.1678716335384,9.317100705527336
1#白银,ARIMA_log,1398.9256574608828,1732.117450635159,9.403908296448911
1#白银,Drift_log,1595.0388986245268,2108.2761006596224,11.087808085417466
铝合金ADC12,ARIMA_log,782.9240975237725,839.6979519302215,3.7357409991024326
铝合金ADC12,Holt_damped_log,826.0260360457117,881.1593534481505,3.9404650643827983
铝合金ADC12,Naive_last,864.3067846607671,920.3823458302477,4.122752435357778
铝合金ADC12,Drift_log,1067.953210054384,1142.6617058124752,5.094629000596453
铸造铝合金锭(ZLD104),ARIMA_log,1380.0615039151796,1499.6809012723643,6.43930147790029
铸造铝合金锭(ZLD104),Naive_last,1397.492625368732,1515.7370118237707,6.51968983595851
铸造铝合金锭(ZLD104),Holt_damped_log,1397.4926278534615,1515.7370140935557,6.519689847410675
铸造铝合金锭(ZLD104),Drift_log,1420.116304668104,1541.0528734465606,6.625475839026087
