series,horizon,model,MAE,RMSE,MAPE_%,Bias,n_obs,naive_MAE,naive_RMSE,naive_MAPE_%,beats_naive
1#铜,1,Final_ensemble,710.1032448377581,964.5818108405714,0.7842512278777086,-42.69911504424769,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,Naive_last,710.1032448377581,964.5818108405714,0.7842512278777086,-42.69911504424769,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,Median_ensemble,721.3219240916837,978.23426493731,0.7967149484548599,-21.000020655584862,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,Rolling_log_drift_120d,724.6129340796233,975.958352060025,0.8007425292629915,72.11535119896374,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,Rolling_log_drift_60d,730.7737075763587,984.1652085317912,0.8075400743214611,37.379925524746795,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,Rolling_log_drift_20d,742.8474324384981,992.4635816158248,0.8211148441258828,-18.423002720990432,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,Rolling_log_drift_5d,795.7637187485315,1080.2262140609066,0.8786864440766701,-14.38044964825082,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,Ridge_direct_h,869.969589446963,1118.0224380608317,0.9587659918696423,-547.8052673953488,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,1,ARIMA_log,1938.425581492294,2669.0092474321427,2.174859851370107,-16.544151040640887,120,710.1032448377581,964.5818108405714,0.7842512278777086,False
1#铜,2,Final_ensemble,959.9557522123889,1329.2875451185216,1.0610723497276984,-86.20943952802348,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,Naive_last,959.9557522123889,1329.2875451185216,1.0610723497276984,-86.20943952802348,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,Median_ensemble,987.8485398971608,1359.9090112928766,1.091554112768269,-36.438618308566824,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,Rolling_log_drift_120d,997.8099124497893,1362.6709089502735,1.1044509106211056,143.60148145762008,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,Rolling_log_drift_60d,1020.0513698345309,1387.1631164405394,1.1290834502066442,74.09803794682436,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,Rolling_log_drift_20d,1029.7865246216595,1404.6621380103268,1.1396979427015486,-37.29646469916479,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,Ridge_direct_h,1104.3620041231227,1454.2959467740898,1.217255448461595,-541.0677361913712,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,Rolling_log_drift_5d,1184.505426216145,1619.527719504806,1.303732200759972,-27.829887212852555,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,2,ARIMA_log,2059.3569794449313,2788.296867890171,2.30659215447177,-28.898271940973306,120,959.9557522123889,1329.2875451185216,1.0610723497276984,False
1#铜,3,Final_ensemble,1131.932153392331,1557.7841945648604,1.2509055376356155,-110.69321533923296,120,1131.932153392331,1557.7841945648604,1.2509055376356155,False
1#铜,3,Naive_last,1131.932153392331,1557.7841945648604,1.2509055376356155,-110.69321533923296,120,1131.932153392331,1557.7841945648604,1.2509055376356155,False
