series,model,MAE_prev_best,RMSE_prev_best,MAPE_%_prev_best,MAE_sarima,RMSE_sarima,MAPE_%_sarima,sarima_mape_minus_prev_best
1#白银,Holt_damped_log,1371.366243721279,1630.5416793677596,9.008869320682551,1420.2033856447586,1744.0491627233687,9.490180366515839,0.4813110458332872
1#铜,Drift_log,5227.467015632722,5518.31129538753,5.665285302276311,6007.817109144552,6297.149612853835,6.512902942442252,0.8476176401659403
A00铝,ARIMA_log,443.9528023598777,659.6730304183783,2.13944154949138,443.9528023598777,659.6730304183783,2.13944154949138,0.0
铝合金ADC12,ARIMA_log,782.9240975237725,839.6979519302215,3.7357409991024326,824.0045873292477,879.2135491323018,3.930864362277959,0.19512336317552625
铸造铝合金锭(ZLD104),ARIMA_log,1380.0615039151796,1499.6809012723645,6.43930147790029,1377.149174462388,1496.9680503644615,6.425860353447556,-0.013441124452734599
