品种,模型版本,目标变量,变量,标准化系数,影响强度_绝对值,p值,显著性,方向,强弱排名
A00铝,候选全变量模型v2,A00铝_价格月环比,中国贸易政策不确定性指数_变化,-0.18736118871613477,0.18736118871613477,0.09286009796317787,*,负向,10
A00铝,候选全变量模型v2,A00铝_价格月环比,SHFE铝仓单库存_环比,0.1820158966957649,0.1820158966957649,0.14429454832108174,不显著,正向,11
A00铝,候选全变量模型v2,A00铝_价格月环比,ADC12_A00价差_滞后1期变化,0.17248533994035795,0.17248533994035795,0.12934901514537095,不显著,正向,12
A00铝,候选全变量模型v2,A00铝_价格月环比,能源价格冲击,0.12305129263729003,0.12305129263729003,0.38591903522530513,不显著,正向,13
A00铝,候选全变量模型v2,A00铝_价格月环比,限电政策冲击,0.11680748535177962,0.11680748535177962,0.26828013335528844,不显著,正向,14
A00铝,候选全变量模型v2,A00铝_价格月环比,SHFE铝主连成交量_环比,-0.10350644924394392,0.10350644924394392,0.17585612958387642,不显著,负向,15
A00铝,候选全变量模型v2,A00铝_价格月环比,制造业PMI_变化,-0.07718904546662317,0.07718904546662317,0.6166254190657887,不显著,负向,16
A00铝,候选全变量模型v2,A00铝_价格月环比,企业商品价格矿产品环比增长,0.06265260236294681,0.06265260236294681,0.6309506895930762,不显著,正向,17
A00铝,候选全变量模型v2,A00铝_价格月环比,SHFE铝主连持仓量_环比,0.037174609375209736,0.037174609375209736,0.6111269540322501,不显著,正向,18
A00铝,候选全变量模型v2,A00铝_价格月环比,PPI当月同比增长,0.009318197534258665,0.009318197534258665,0.9486011586845084,不显著,正向,19
A00铝,候选全变量模型v2,A00铝_价格月环比,汽车产量当期值_环比,-0.006275935758732087,0.006275935758732087,0.9857502881647369,不显著,负向,20
A00铝,VIF筛选模型,A00铝_价格月环比,SHFE铝主连收盘价_环比,0.5440922259704908,0.5440922259704908,8.416905004830578e-05,***,正向,1
A00铝,VIF筛选模型,A00铝_价格月环比,限电政策冲击,0.30105433555104577,0.30105433555104577,5.806538497552502e-07,***,正向,2
A00铝,VIF筛选模型,A00铝_价格月环比,企业商品价格矿产品环比增长,0.23307967574229202,0.23307967574229202,0.01860507384323235,**,正向,3
A00铝,VIF筛选模型,A00铝_价格月环比,中国贸易政策不确定性指数_变化,-0.18152503038066586,0.18152503038066586,0.018909144390163155,**,负向,4
A00铝,VIF筛选模型,A00铝_价格月环比,SHFE铝主连成交量_环比,0.15285221631931747,0.15285221631931747,0.017531678044491912,**,正向,5
A00铝,VIF筛选模型,A00铝_价格月环比,COVID供应链冲击,-0.10944267066735346,0.10944267066735346,0.000828801329940053,***,负向,6
A00铝,VIF筛选模型,A00铝_价格月环比,企业商品价格煤油电环比增长,0.10756981275242096,0.10756981275242096,0.08892270845557171,*,正向,7
A00铝,VIF筛选模型,A00铝_价格月环比,环保限产冲击,0.0029017839002633272,0.0029017839002633272,0.9888205266793527,不显著,正向,8
A00铝,Lasso筛选模型,A00铝_价格月环比,SHFE铝主连收盘价_环比,0.4921640513408777,0.4921640513408777,2.2719322185689074e-07,***,正向,1
A00铝,Lasso筛选模型,A00铝_价格月环比,限电政策冲击,0.36872609563288483,0.36872609563288483,0.00017955212245724286,***,正向,2
A00铝,Lasso筛选模型,A00铝_价格月环比,企业商品价格矿产品环比增长,0.26221119836293194,0.26221119836293194,0.029147581931868748,**,正向,3
A00铝,Lasso筛选模型,A00铝_价格月环比,房地产开发景气指数环比,-0.23900815919114024,0.23900815919114024,0.024360828434052604,**,负向,4
A00铝,Lasso筛选模型,A00铝_价格月环比,中国贸易政策不确定性指数_变化,-0.19667449314843077,0.19667449314843077,0.0163158476441961,**,负向,5
