series,model,MAE,RMSE,MAPE_%,future_range_%,passes_nonflat_rule
1#白银,Rolling_log_drift_252d,2360.289589,3152.551310,16.678937,5.015014,True
1#白银,Rolling_log_drift_120d,2731.974969,3664.661937,19.352783,3.366818,True
1#白银,Rolling_log_drift_40d,3508.510918,3712.937536,22.456338,13.932423,True
1#白银,Rolling_log_drift_20d,5059.638401,5334.293197,32.817811,7.923296,True
1#白银,"ARIMA_log(1, 1, 2)_trend_n",1371.754733,1743.219235,9.303406,0.004379,False
1#白银,"ARIMA_log(0, 1, 2)_trend_n",1372.561662,1742.733545,9.306335,0.006839,False
1#白银,"ARIMA_log(2, 1, 0)_trend_n",1372.639334,1742.665919,9.306559,0.007073,False
1#白银,"ARIMA_log(2, 1, 1)_trend_n",1374.012733,1741.878868,9.311656,0.022375,False
1#白银,"ARIMA_log(0, 1, 1)_trend_n",1375.088317,1741.350649,9.315765,0.000000,False
1#白银,"ARIMA_log(1, 1, 0)_trend_n",1375.125635,1741.330793,9.315905,0.000031,False
1#白银,"ARIMA_log(1, 1, 1)_trend_n",1375.282386,1741.248717,9.316493,0.015163,False
1#白银,"ARIMA_log(0, 1, 0)_trend_n",1375.442478,1741.167872,9.317101,0.000000,False
铝合金ADC12,"ARIMA_log(1, 1, 1)_trend_n",782.922110,839.695985,3.735732,0.424775,True
铝合金ADC12,"ARIMA_log(1, 1, 2)_trend_n",815.265559,871.569118,3.889512,0.323653,True
铝合金ADC12,"ARIMA_log(2, 1, 1)_trend_n",824.004587,879.213549,3.930864,0.495953,True
铝合金ADC12,"ARIMA_log(2, 1, 2)_trend_n",825.602565,880.709973,3.938445,0.496826,True
铝合金ADC12,Holt_log_damped_True,826.026036,881.159353,3.940465,0.499699,True
铝合金ADC12,"ARIMA_log(1, 1, 2)_trend_t",961.838431,1031.089241,4.588980,0.824908,True
铝合金ADC12,"ARIMA_log(1, 1, 1)_trend_t",963.727369,1033.196878,4.597996,0.905680,True
铝合金ADC12,"ARIMA_log(2, 1, 2)_trend_t",970.843981,1040.658281,4.631905,0.873429,True
铝合金ADC12,"ARIMA_log(2, 1, 1)_trend_t",976.749944,1045.662509,4.659888,0.866939,True
铝合金ADC12,"ARIMA_log(2, 1, 0)_trend_t",1005.929088,1083.390943,4.800105,0.633426,True
铝合金ADC12,"ARIMA_log(0, 1, 2)_trend_t",1024.744937,1100.963524,4.889399,0.569084,True
铝合金ADC12,"ARIMA_log(1, 1, 0)_trend_t",1034.359132,1111.181619,4.935222,0.563204,True
铝合金ADC12,"ARIMA_log(0, 1, 1)_trend_t",1041.388615,1117.367720,4.968516,0.544308,True
铝合金ADC12,"ARIMA_log(0, 1, 0)_trend_t",1064.754982,1139.132342,5.079366,0.541086,True
铝合金ADC12,Global_log_drift,1067.953210,1142.661706,5.094629,0.551697,True
铝合金ADC12,Holt_log_damped_False,1154.866868,1238.932237,5.509418,0.777573,True
铝合金ADC12,Rolling_log_drift_252d,1287.903988,1387.413655,6.144335,1.411323,True
铝合金ADC12,Rolling_log_drift_20d,1298.674425,1399.484149,6.195737,0.986543,True
铝合金ADC12,Rolling_log_drift_60d,1846.284466,2019.728810,8.809265,1.528167,True
铝合金ADC12,Rolling_log_drift_120d,1855.243983,2029.956218,8.852027,0.718532,True
铝合金ADC12,"ARIMA_log(2, 1, 0)_trend_n",808.892656,867.908919,3.859726,0.089110,False
铝合金ADC12,"ARIMA_log(0, 1, 2)_trend_n",829.147445,887.238948,3.955905,0.028506,False
铝合金ADC12,"ARIMA_log(1, 1, 0)_trend_n",831.686583,889.735623,3.967976,0.012073,False
铝合金ADC12,"ARIMA_log(0, 1, 1)_trend_n",841.174689,898.694777,4.013007,0.000000,False
铝合金ADC12,"ARIMA_log(0, 1, 0)_trend_n",864.306785,920.382346,4.122752,0.000000,False
